"MemberID","cMem","cChair","cRank","sChair","sRank"
"15015-110-100","['SSBK', 'SSCM', 'SSEV', 'SSGA', 'SPAG']","[]","[]","['SSBK99', 'SSEV99', 'SSGA99']","[]"
"15015-111-100","['SSEV', 'SSFI', 'SSGA']","[]","[]","['SSEV99', 'SSGA99']","[]"
"40703-112-100","['SSAF', 'SSFR', 'SSHR', 'SPAG', 'JSEC']","['JSEC']","[]","['SSFR99']","[]"
"40703-110-100","['SSAF', 'SSBK', 'SSFR', 'SPAG', 'JSEC']","[]","[]","[]","[]"
"40703-111-100","['SSAF', 'SSFR', 'SSHR', 'SPAG', 'JSEC']","[]","[]","['SSAF99', 'SSFR99']","[]"
"40705-112-200","['SSBK', 'SSEG', 'SSFR', 'SPAG']","[]","['SPAG']","[]","['SSBK99', 'SSFR99']"
"40705-110-200","['SSAS', 'SSBK', 'SSEG', 'SSFR', 'SSSB', 'SPAG']","[]","[]","[]","['SSEG99', 'SSFR99']"
"40705-111-200","['SSBK', 'SSEG', 'SSFR', 'SPAG']","[]","['SPAG']","[]","['SSBK99', 'SSFR99']"
"49300-103-100","['SSAP', 'SSJU', 'SSRA']","[]","[]","[]","[]"
"49300-104-100","['SSFR', 'SSJU', 'SSRA']","[]","[]","[]","[]"
"49300-105-100","['SSFR', 'SSJU', 'SSRA', 'JSLC']","[]","[]","[]","[]"
"49300-106-100","['SSAP', 'SSJU', 'SSRA', 'JSPR']","[]","[]","[]","['SSAP99', 'SSJU99']"
"49300-107-100","['SSAP', 'SSEG', 'SSJU', 'SSRA', 'SLIN', 'JSPR']","[]","[]","['SSAP99', 'SSJU99']","[]"
"49300-108-100","['SSAP', 'SSEG', 'SSJU', 'SSRA', 'SLIN']","[]","[]","[]","['SSAP99', 'SSJU99']"
"49300-109-100","['SSAP', 'SSEG', 'SSJU', 'SSRA', 'SLIN']","[]","[]","[]","['SSAP99', 'SSJU99']"
"49300-112-100","['SSAP', 'SSJU', 'SSRA', 'SLIN']","['SLIN']","[]","['SSAP99']","[]"
"49300-110-100","['SSAP', 'SSJU', 'SSRA', 'SLIN', 'JSLC', 'JSPR']","[]","[]","['SSAP99', 'SSJU99']","[]"
"49300-111-100","['SSAP', 'SSJU', 'SSRA', 'SLIN']","['SLIN']","[]","['SSAP99']","[]"
"14503-103-200","['SSFI', 'SSJU', 'SSHR']","[]","['SSJU']","[]","[]"
"14503-104-200","['SSFI', 'SSJU', 'SLIA']","['SSJU']","[]","[]","[]"
"14503-105-200","['SSFI', 'SSJU', 'SLIN', 'SLIA']","['SSJU']","[]","[]","[]"
"14503-106-200","['SSFI', 'SSJU', 'SLIN', 'SLIA']","['SSJU']","[]","['SSFI99']","[]"
"14503-107-200","['SSFI', 'SSJU', 'SLIN', 'SLIA']","[]","['SSJU']","[]","['SSFI99']"
"14503-108-200","['SSFI', 'SSJU', 'SPAG', 'SLIN', 'SLIA']","['SSJU']","[]","[]","[]"
"14503-109-200","['SSFI', 'SSJU', 'SSHR', 'SLIN']","[]","[]","['SSFI99', 'SSJU99']","[]"
"14503-112-200","['SSFI', 'SSJU', 'SSHR', 'SPAG', 'JSTX']","[]","['SSFI']","[]","[]"
"14503-110-200","['SSFI', 'SSJU', 'SSHR', 'SLIN']","[]","[]","[]","['SSFI99', 'SSJU99']"
"14503-111-200","['SSFI', 'SSJU', 'SSHR', 'SPAG', 'SLIN', 'JSTX']","[]","[]","[]","['SSFI99', 'SSJU99']"
"40700-112-100","['SSAF', 'SSCM', 'SSJU', 'JSEC']","[]","[]","['SSCM99', 'SSJU99']","[]"
"40700-110-100","['SSAF', 'SSCM', 'SSEV', 'JSEC']","[]","[]","[]","[]"
"40700-111-100","['SSAF', 'SSCM', 'SSEV', 'SSJU', 'JSEC']","[]","[]","['SSCM99', 'SSEV99']","[]"
"40701-112-100","['SSAS', 'SSCM', 'SSGA', 'SPAG']","[]","[]","['SSAS99', 'SSGA99']","[]"
"40701-110-100","['SSAS', 'SSCM', 'SSGA', 'SPAG']","[]","[]","[]","[]"
"40701-111-100","['SSAS', 'SSCM', 'SSGA', 'SPAG']","[]","[]","['SSGA99']","[]"
"29373-103-100","['HSFA', 'HSPW']","[]","[]","[]","[]"
"29373-104-100","['HSFA', 'HSPW']","[]","[]","[]","[]"
"29373-105-100","['HSFA', 'HSPW']","[]","[]","[]","[]"
"29373-106-100","['HSFA', 'HSPW']","[]","[]","[]","['HSFA99']"
"29373-107-100","['HSFA', 'HSPW', 'HSHM']","[]","[]","[]","['HSFA99']"
"29373-108-100","['HSFA', 'HSPW']","[]","[]","[]","['HSFA99']"
"29373-109-100","['HSFA', 'HSPW', 'SSBK', 'SSBU', 'SSEG']","[]","[]","[]","[]"
"29373-112-100","['SSBK', 'SSFI', 'SSFR']","[]","[]","['SSBK99', 'SSFR99']","[]"
"29373-110-100","['SSBK', 'SSBU', 'SSEG', 'SSFR']","[]","[]","['SSFR99']","[]"
"29373-111-100","['SSBK', 'SSBU', 'SSEG', 'SSFI', 'SSFR']","[]","[]","['SSBK99', 'SSFR99']","[]"
"14651-107-100","['SSAS', 'SSBU', 'SSCM', 'SSFR']","[]","[]","[]","[]"
"14651-108-100","['SSAS', 'SSBU', 'SSCM', 'SSFR']","[]","[]","[]","['SSAS99', 'SSFR99']"
"14651-109-100","['SSAS', 'SSBU', 'SSCM', 'SSFR', 'SPAG']","[]","[]","[]","['SSAS99', 'SSCM99', 'SSFR99']"
"14651-112-100","['SSBU', 'SSCM', 'SSFI', 'SPAG', 'SLIN']","[]","[]","['SSCM99', 'SSFI99']","[]"
"14651-110-100","['SSAS', 'SSBU', 'SSCM', 'SSFR', 'SPAG', 'SLIN']","[]","[]","['SSAS99', 'SSCM99', 'SSFR99']","[]"
"14651-111-100","['SSAS', 'SSBU', 'SSCM', 'SSFI', 'SPAG', 'SLIN']","[]","[]","['SSAS99', 'SSCM99']","[]"
"29147-103-200","['HSBA', 'HSGO']","[]","[]","[]","[]"
"29147-104-200","['HSBA', 'HSGO']","[]","[]","[]","[]"
"29147-105-200","['HSBA', 'HSGO']","[]","[]","[]","[]"
"29147-106-200","['HSBA', 'HSGO']","[]","[]","[]","['HSFS99']"
"29147-107-200","['HSBA', 'HSGO']","[]","[]","[]","['HSFS99']"
"29147-108-200","['HSBA', 'HSGO']","[]","[]","[]","['HSFS99']"
"29147-109-200","['HSBA', 'HSGO']","[]","[]","[]","['HSFS99']"
"29147-112-200","['SSBU', 'SSEG', 'SSEV', 'SSHR', 'SSVA', 'JSEC']","[]","[]","['SSEV99', 'SSHR99']","[]"
"29147-110-200","['SSBU', 'SSEG', 'SSEV', 'SSHR', 'SSVA']","[]","[]","[]","[]"
"29147-111-200","['SSBU', 'SSEG', 'SSEV', 'SSHR', 'SSVA']","[]","[]","['SSEV99']","[]"
"29732-105-100","['HSAG', 'HSSY']","[]","[]","[]","[]"
"29732-106-100","['HSAG', 'HSSY']","[]","[]","[]","[]"
"29732-107-100","['SSAF', 'SSBK', 'SSBU', 'SPAG']","[]","[]","[]","[]"
"29732-108-100","['SSAF', 'SSBK', 'SSBU', 'SPAG']","[]","[]","[]","[]"
"29732-109-100","['SSAF', 'SSBK', 'SSBU']","[]","[]","[]","[]"
"29732-112-100","['SSAF', 'SSBU', 'SSEG', 'SSFI']","['SSAF']","[]","['SSFI99']","[]"
"29732-110-100","['SSAF', 'SSBU', 'SSFI']","[]","[]","['SSAF99']","[]"
"29732-111-100","['SSAF', 'SSBU', 'SSEG', 'SSFI']","[]","[]","['SSAF99', 'SSEG99']","[]"
"40702-112-100","['SSAP', 'SSBK', 'SSGA', 'SSVA', 'SLIA']","[]","[]","['SSBK99']","[]"
"40702-110-100","['SSBK', 'SSEG', 'SSGA', 'SSSB', 'SSVA']","[]","[]","[]","[]"
"40702-111-100","['SSAP', 'SSBK', 'SSEG', 'SSGA', 'SSVA', 'SLIA']","[]","[]","[]","[]"
"40704-112-100","['SSBU', 'SSEV', 'SSJU', 'SSHR', 'SPAG']","[]","[]","['SSEV99', 'SSJU99']","[]"
"40704-110-100","['SSBU', 'SSEV', 'SSJU', 'SPAG', 'SLIN']","[]","[]","[]","[]"
"40704-111-100","['SSBU', 'SSEV', 'SSJU', 'SPAG', 'SLIN']","[]","[]","['SSEV99', 'SSJU99']","[]"
"40707-112-200","['SSEG', 'SSEV', 'SSFR', 'SLIA']","[]","['SLIA']","[]","['SSEG99', 'SSEV99', 'SSFR99']"
"40707-110-200","['SSEG', 'SSEV', 'SSFR', 'SLIA']","[]","[]","[]","['SSEV99']"
"40707-111-200","['SSEG', 'SSEV', 'SSFR', 'SLIA']","[]","['SLIA']","[]","['SSEG99', 'SSEV99', 'SSFR99']"
"29534-104-200","['HSAP']","[]","[]","[]","[]"
"29534-105-200","['HSAP']","[]","[]","[]","[]"
"29534-106-200","['HSAP']","[]","[]","[]","[]"
"29534-107-200","['HSAP']","[]","[]","[]","[]"
"29534-108-200","['HSAP', 'HSBU']","[]","[]","[]","[]"
"29534-109-200","['HSAP', 'HSBU']","[]","[]","[]","[]"
"29534-110-200","['HSAP', 'SSAS', 'SSCM', 'SSVA']","[]","[]","[]","[]"
"29534-112-200","['SSAS', 'SSBK', 'SSCM', 'SSVA']","[]","[]","[]","['SSAS99', 'SSCM99']"
"29534-110-200","['HSAP', 'SSAS', 'SSCM', 'SSVA']","[]","[]","[]","[]"
"29534-111-200","['SSAS', 'SSCM', 'SSFR', 'SSSB', 'SSVA']","[]","[]","[]","['SSAS99', 'SSCM99', 'SSFR99']"
"40304-108-200","['SSEG', 'SSFR', 'SSHR', 'JSEC']","[]","[]","['SSEG99', 'SSFR99', 'SSHR99']","[]"
"40304-109-200","['SSBU', 'SSEG', 'SSFR', 'SSHR', 'SPAG']","[]","[]","['SSEG99', 'SSHR99']","[]"
"40304-110-200","['SSAP', 'SSEV', 'SSHR', 'SSRA']","[]","[]","[]","['SSAP99', 'SSEV99', 'SSHR99']"
"40304-112-200","['SSAP', 'SSEV', 'SSHR', 'SSRA', 'JSLC', 'JSPR']","[]","['SSRA']","[]","['SSAP99', 'SSEV99']"
"40304-111-200","['SSAP', 'SSBU', 'SSEV', 'SSHR', 'SSRA']","[]","[]","[]","['SSAP99', 'SSEV99', 'SSHR99']"
"14203-104-100","['SSAF', 'SSEV', 'SSFI', 'SLIN']","[]","['SSEV']","[]","[]"
"14203-103-100","['SSAF', 'SSEV', 'SSFI', 'SLIN']","['SSEV']","[]","[]","[]"
"14203-105-100","['SSAF', 'SSEV', 'SSFI', 'SLIN']","[]","['SSEV']","[]","[]"
"14203-106-100","['SSAF', 'SSEV', 'SSFI', 'SLIN']","[]","['SSEV']","[]","['SSAF99', 'SSEV99', 'SSFI99']"
"14203-107-100","['SSAF', 'SSEV', 'SSFI']","['SSFI']","[]","['SSAF99', 'SSFI99']","[]"
"14203-108-100","['SSAF', 'SSEV', 'SSFI']","[]","['SSFI']","[]","['SSAF99', 'SSFI99']"
"14203-109-100","['SSAF', 'SSEV', 'SSFI']","[]","['SSFI']","[]","['SSAF99', 'SSEV99']"
"14203-110-100","['SSAF', 'SSEV', 'SSFI']","['SSFI']","[]","['SSAF99', 'SSEV99']","[]"
"14203-112-100","['SSAF', 'SSEV', 'SSFI', 'JSTX']","['SSFI']","[]","['SSEV99']","[]"
"14203-111-100","['SSAF', 'SSEV', 'SSFI', 'JSTX']","['SSFI', 'JSTX']","[]","['SSEV99']","[]"
"40900-112-100","['SSBU', 'SSGA']","[]","[]","['SSCM99']","[]"
"40900-111-100","[]","[]","[]","[]","[]"
"29512-104-200","['HSAG', 'HSAS']","[]","[]","[]","[]"
"29512-105-200","['HSAG', 'HSAS']","[]","[]","[]","[]"
"29512-106-200","['HSAG', 'HSAS', 'HSBU']","[]","[]","[]","[]"
"29512-107-200","['HSAG', 'HSAS', 'HLIG']","[]","[]","['HLIG99', 'HSAG99']","[]"
"29512-108-200","['SSAF', 'SSAS', 'SSJU', 'SSRA', 'SLIN', 'JSPR']","[]","[]","['SSAS99', 'SSJU99']","[]"
"29512-109-200","['SSAF', 'SSAS', 'SSRA', 'SLIN', 'JSPR']","['SSAF']","[]","[]","[]"
"29512-110-200","['SSAF', 'SSAS', 'SSRA', 'SLIN', 'JSPR']","[]","['SSAF']","[]","[]"
"29512-112-200","['SSAF', 'SSAS', 'SSRA', 'SPAG', 'SLIN', 'JSPR']","[]","['SLIN']","[]","[]"
"29512-111-200","['SSAF', 'SSAS', 'SSRA', 'SPAG', 'SLIN', 'JSPR']","[]","['SSAF']","[]","[]"
"14009-104-200","['SSAF', 'SSAP', 'SSGA', 'SSRA', 'JSLC', 'JSPR']","[]","[]","[]","[]"
"14009-103-200","['SSAF', 'SSAP', 'SSGA', 'SSRA', 'SLIA']","[]","[]","[]","[]"
"14009-105-200","['SSAF', 'SSAP', 'SSGA', 'SSRA', 'JSLC', 'JSPR']","[]","[]","[]","[]"
"14009-106-200","['SSAF', 'SSAP', 'SSGA', 'SSRA', 'JSLC', 'JSPR']","[]","[]","['SSAP99', 'SSGA99']","[]"
"14009-107-200","['SSAF', 'SSAP', 'SSGA', 'SSRA', 'JSLC', 'JSPR']","[]","[]","[]","['SSAP99', 'SSGA99']"
"14009-108-200","['SSAF', 'SSAP', 'SSRA', 'JSLC', 'JSPR']","['SSAF']","[]","['SSAP99']","[]"
"14009-109-200","['SSAF', 'SSAP', 'SSRA', 'JSLC', 'JSPR']","['SSAP']","[]","[]","[]"
"14009-110-200","['SSAF', 'SSAP', 'SSRA']","[]","['SSAP']","[]","['SSAP99', 'SSAP99']"
"14009-112-200","['SSAF', 'SSAP', 'SSRA', 'JSLC']","[]","['SSAP']","[]","['SSAP99']"
"14009-111-200","['SSAF', 'SSAP', 'SSRA', 'JSLC']","[]","['SSAP']","[]","['SSAP99', 'SSAP99']"
"49703-105-200","['SSGA', 'SSHR', 'SPAG']","[]","[]","[]","[]"
"49703-106-200","['SSGA', 'SSHR', 'SPAG']","[]","[]","['SSGA99']","[]"
"49703-107-200","['SSAS', 'SSGA', 'SSHR', 'SPAG']","[]","[]","[]","['SSGA99', 'SSHR99']"
"49703-108-200","['SSAS', 'SSGA', 'SPAG', 'JSEC']","['SSGA']","[]","[]","[]"
"49703-109-200","['SSAS', 'SSGA', 'SPAG']","['SSGA']","[]","[]","[]"
"49703-110-200","['SSAS', 'SSGA', 'SPAG']","[]","['SSGA']","[]","[]"
"49703-112-200","['SSAP', 'SSAS', 'SSGA', 'SPAG']","[]","['SSGA']","[]","['SSAP99']"
"49703-111-200","['SSAP', 'SSAS', 'SSGA', 'SPAG']","[]","['SSGA']","[]","['SSAP99']"
"40305-108-200","['SSAS', 'SSBU', 'SSEV', 'SSJU']","[]","[]","['SSJU99']","[]"
"40305-109-200","['SSAS', 'SSBU', 'SSJU', 'SSSB', 'JSEC']","[]","[]","['SSAS99', 'SSJU99']","[]"
"40305-110-200","['SSAS', 'SSBU', 'SSJU', 'SPOC']","[]","['SPOC']","[]","['SSAS99', 'SSJU99']"
"40305-112-200","['SSAS', 'SSBU', 'SSFI', 'SSJU']","[]","[]","[]","['SSFI99', 'SSJU99']"
"40305-111-200","['SSAF', 'SSBU', 'SSFI', 'SSJU']","[]","[]","[]","['SSAF99', 'SSJU99']"
"15021-103-100","['HSAP']","[]","[]","[]","[]"
"15021-104-100","['HSAP']","[]","[]","[]","[]"
"15021-105-100","['SSBU', 'SSGA', 'SSJU']","[]","[]","[]","[]"
"15021-106-100","['SSAP', 'SSBU', 'SSGA', 'SPOC']","[]","[]","[]","['SSAP99', 'SSGA99']"
"15021-107-100","['SSAP', 'SSGA', 'SSJU', 'SSRA', 'SLIN']","[]","[]","['SSAP99', 'SSGA99']","[]"
"15021-108-100","['SSAP', 'SSGA', 'SSJU', 'SSRA', 'SLIN']","[]","[]","[]","['SSAP99', 'SSGA99']"
"15021-109-100","['SSAP', 'SSJU', 'SSRA', None]","[]","[]","[]","['SSAP99', 'SSJU99']"
"15021-110-100","['SSAP', 'SSJU', 'SSRA', None]","[]","[]","['SSAP99', 'SSJU99']","[]"
"15021-112-100","['SSAP', 'SSFR', 'SSJU', 'SSRA', 'JSLC', None]","[]","[]","['SSAP99', 'SSJU99']","[]"
"15021-111-100","['SSAP', 'SSJU', 'SSRA', 'JSLC', None]","[]","[]","['SSAP99', 'SSJU99']","[]"
"49706-105-200","['SSBK', 'SSHR', 'SSSB', 'SPAG']","[]","[]","[]","[]"
"49706-106-200","['SSBK', 'SSHR', 'SSSB', 'SPAG']","[]","[]","['SSBK99', 'SSHR99']","[]"
"49706-107-200","['SSBK', 'SSFR', 'SSHR', 'SSSB', 'SPAG']","[]","[]","[]","['SSBK99', 'SSFR99', 'SSHR99']"
"49706-108-200","['SSBK', 'SSBU', 'SSFR', 'SSHR', 'SSSB', 'SPAG']","[]","[]","['SSBK99', 'SSHR99']","[]"
"49706-109-200","['SSBK', 'SSBU', 'SSHR', 'SSSB']","['SSHR']","[]","[]","[]"
"49706-110-200","['SSBK', 'SSBU', 'SSHR', 'SSSB']","[]","['SSHR']","[]","[]"
"49706-112-200","['SSBU', 'SSHR', 'SSSB']","[]","['SSHR']","[]","[]"
"49706-111-200","['SSBU', 'SSFI', 'SSHR', 'SSSB']","[]","['SSHR']","[]","[]"
"29566-104-200","['HSED', 'HSSY']","[]","[]","[]","[]"
"29566-105-200","['HSAS', 'HSED', 'HSFA', 'HSJU']","[]","[]","[]","[]"
"29566-106-200","['HSAS', 'HSED', 'HSJU']","[]","[]","[]","[]"
"29566-107-200","['HSAS', 'HSED', 'HSJU']","[]","[]","[]","[]"
"29566-108-200","['SSAS', 'SSJU', 'SSHR', 'SSVA']","[]","[]","['SSJU99']","[]"
"29566-109-200","['SSAS', 'SSBU', 'SSJU', 'SSVA']","[]","[]","['SSAS99', 'SSJU99']","[]"
"29566-110-200","['SSAF', 'SSAS', 'SSBU', 'SSJU', 'SSVA']","[]","[]","[]","['SSAF99', 'SSAS99', 'SSJU99']"
"29566-112-200","['SSAP', 'SSAS', 'SSBU', 'SSJU', 'SPAG']","[]","[]","[]","['SSAP99', 'SSAS99', 'SSJU99']"
"29566-111-200","['SSAS', 'SSBU', 'SSGA', 'SSJU', 'SSVA', 'SPAG']","[]","[]","[]","['SSAS99', 'SSGA99', 'SSJU99']"
"40907-112-100","['SSBK']","[]","[]","['SSAS99']","[]"
"40907-111-100","[]","[]","[]","[]","[]"
"14230-104-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","[]","[]","[]","[]"
"14230-103-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","[]","[]","[]","[]"
"14230-105-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","[]","['SSAF']","[]","[]"
"14230-106-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","[]","['SSAF']","[]","['SSAP99']"
"14230-107-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","['SSAF']","[]","['SSAP99']","[]"
"14230-108-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","[]","['SSAF']","[]","['SSAP99']"
"14230-109-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","[]","['SSAF']","[]","['SSAP99']"
"14230-110-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","['SSAF']","[]","['SSAP99']","[]"
"14230-112-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","['SSHR']","[]","['SSAP99']","[]"
"14230-111-100","['SSAF', 'SSAP', 'SSHR', 'SSSB']","['SSAF', 'SSHR']","[]","['SSAP99']","[]"
"15424-103-200","['HSAS', 'HSMM', 'HSPW']","[]","[]","[]","[]"
"15424-104-200","['SSAS', 'SSEV', 'SLIN']","[]","[]","[]","[]"
"15424-103-200","['HSAS', 'HSMM', 'HSPW']","[]","[]","[]","[]"
"15424-105-200","['SSAS', 'SSEV', 'SLIN', 'SLIA']","[]","[]","[]","[]"
"15424-106-200","['SSAS', 'SSEV', 'SLIN', 'SLIA']","[]","[]","['SSAS99', 'SSEV99']","[]"
"15424-107-200","['SSAS', 'SSEV', 'SLIN', 'SLIA']","[]","[]","[]","['SSAS99', 'SSEV99']"
"15424-108-200","['SSAS', 'SSEV', 'SLIA']","['SSEV']","[]","[]","[]"
"15424-109-200","['SSAS', 'SSEV']","['SSEV']","[]","[]","[]"
"15424-110-200","['SSAS', 'SSEV']","[]","['SSEV']","[]","[]"
"15424-112-200","['SSAS', 'SSEV', 'SSFR']","[]","['SSEV']","[]","['SSFR99']"
"15424-111-200","['SSAS', 'SSEV', 'SSFR']","[]","['SSEV']","[]","['SSEV99', 'SSFR99']"
"40905-112-200","['SSEV']","[]","[]","[]","['SSBK99', 'SSEV99']"
"40905-111-200","[]","[]","[]","[]","['SSAF99']"
"15425-103-100","['HSAG', 'HSII']","[]","[]","[]","[]"
"15425-104-100","['HSAG', 'HSII']","[]","[]","[]","[]"
"15425-105-100","['SSAF', 'SSBK', 'SSBU', 'SSEG']","[]","[]","[]","[]"
"15425-106-100","['SSAF', 'SSBK', 'SSBU', 'SSEG']","[]","[]","[]","['SSBK99']"
"15425-107-100","['SSAP', 'SSBK', 'SSBU', 'SSEG', 'SLIA']","[]","[]","['SSBK99']","[]"
"15425-108-100","['SSAP', 'SSBK', 'SSBU', 'SSEG', 'SLIA']","[]","[]","[]","['SSBK99']"
"15425-109-100","['SSAP', 'SSBK', 'SSBU', 'SSEG', 'SPOC', 'SLIA']","[]","[]","[]","['SSBK99', 'SSEG99']"
"15425-110-100","['SSAP', 'SSBK', 'SSEG', 'SPOC', 'SLIA']","['SPOC']","[]","['SSAP99', 'SSBK99', 'SSEG99']","[]"
"15425-112-100","['SSAP', 'SSBK', 'SSEG', 'SSGA', 'SLIA']","['SSBK']","[]","['SSAP99']","[]"
"15425-111-100","['SSAP', 'SSBK', 'SSEG', 'SLIA']","[]","[]","['SSAP99', 'SSBK99']","[]"
"49702-105-100","['SSAF', 'SSEG', 'SSSB']","[]","[]","[]","[]"
"49702-106-100","['SSAS', 'SSEG', 'SSSB']","[]","[]","[]","['SSAS99']"
"49702-107-100","['SSAP', 'SSAS', 'SSEG', 'SSSB']","[]","[]","['SSAP99', 'SSAS99']","[]"
"49702-108-100","['SSAP', 'SSEG', 'SSSB']","[]","[]","[]","['SSAP99']"
"49702-109-100","['SSAP', 'SSEG', 'SSSB']","[]","[]","[]","['SSAP99']"
"49702-110-100","['SSAP', 'SSEG', 'SSGA', 'SSSB']","[]","[]","['SSAP99', 'SSGA99']","[]"
"49702-112-100","['SSAP', 'SSEG', 'SSGA', 'SSSB']","['SSSB']","[]","['SSAP99']","[]"
"49702-111-100","['SSAP', 'SSEG', 'SSGA', 'SSSB']","['SSSB']","[]","['SSGA99']","[]"
"14709-104-100","['SSAS', 'SSGA', 'SSSB']","[]","[]","[]","[]"
"14709-103-100","['SSAS', 'SSGA', 'SSSB']","[]","[]","[]","[]"
"14709-105-100","['SSAS', 'SSGA', 'SSSB', 'SLIN']","[]","['SSAS']","[]","[]"
"14709-106-100","['SSAS', 'SSGA', 'SSSB', 'SLIN']","[]","['SSAS']","[]","['HSWM99', 'SSGA99']"
"14709-107-100","['SSAS', 'SSGA', 'SSSB', 'SLIN']","['SSAS']","[]","['SSGA99']","['HSWM99']"
"14709-108-100","['SSAS', 'SSGA', 'SSSB', 'SLIN']","[]","['SSAS']","[]","['HSWM99', 'SSGA99']"
"14709-109-100","['SSAS', 'SSGA', 'SSSB', 'SLIN']","[]","['SSAS']","[]","['HSWM99', 'SSGA99']"
"14709-110-100","['SSAS', 'SSGA', 'SSSB', 'SLIN']","['SSAS']","[]","['HSWM99', 'SSGA99']","[]"
"14709-112-100","['SSAS', 'SSGA', 'SSSB']","['SSAS']","[]","['SSGA99']","[]"
"14709-111-100","['SSAS', 'SSGA', 'SSSB']","['SSAS']","[]","['SSGA99']","[]"
"14921-104-200","['SSAF', 'SSAP', 'SSEV', 'SSRA', 'SPOC']","['SPOC']","[]","[]","[]"
"14921-103-200","['SSAF', 'SSAP', 'SSRA', 'SPOC']","[]","['SPOC']","[]","[]"
"14921-105-200","['SSAF', 'SSAP', 'SSHR', 'SSRA', 'JSPR']","[]","[]","[]","[]"
"14921-106-200","['SSAF', 'SSAP', 'SSRA', 'JSLC', 'JSPR']","['SSRA']","[]","['SSAP99']","[]"
"14921-107-200","['SSAF', 'SSAP', 'SSJU', 'SSRA']","[]","['SSRA']","[]","['SSAF99', 'SSAP99']"
"14921-108-200","['SSAF', 'SSAP', 'SSRA', None]","[]","[]","['SSAP99']","[]"
"14921-109-200","['SSAF', 'SSAP', 'SSRA', None]","[]","[]","['SSAF99', 'SSAP99']","[]"
